135	3	50	17
136	4	95	59
137	1	190	17
138	2	198	30
139	3	181	35
140	4	155	53
141	1	104	59
142	2	90	15
143	3	164	49
144	4	81	18
145	1	85	50
146	2	65	33
147	3	168	53
148	4	219	35
149	1	143	38
150	2	79	50
151	3	153	40
152	4	224	48
153	1	172	20
154	2	18	44
155	3	130	55
156	4	196	15
157	1	126	32
158	2	122	20
159	3	103	32
160	4	189	56
161	1	184	41
162	2	165	40
163	3	106	60
164	4	111	55
165	1	56	55
166	2	226	18
167	3	170	20
168	4	1	39
169	1	133	27
170	2	142	25
171	3	17	25
172	4	90	31
173	1	89	40
174	2	201	51
175	3	49	50
176	4	172	48
177	1	81	34
178	2	84	43
179	3	239	18
180	4	160	21
181	1	72	24
182	2	173	37
183	3	208	56
184	4	191	56
185	1	81	32
186	2	159	23
187	3	203	57
188	4	61	56
189	1	13	20
190	2	56	36
191	3	94	36
192	4	226	38
193	1	170	54
194	2	127	56
195	3	214	57
196	4	80	46
197	1	210	48
198	2	133	41
199	3	138	34
200	4	65	44
101	1	38	16
102	2	122	54
103	3	78	51
104	4	127	16
105	1	101	40
106	2	38	58
107	3	28	36
108	4	106	51
109	1	33	26
110	2	29	37
111	3	75	56
112	4	95	43
113	1	201	47
114	2	198	33
115	3	132	39
116	4	8	23
117	1	218	37
118	2	242	33
119	3	210	15
120	4	161	24
121	1	146	59
122	2	0	59
123	3	196	19
124	4	206	40
125	1	135	36
126	2	173	23
127	3	150	53
128	4	170	20
129	1	155	33
130	2	47	26
131	3	126	56
132	4	140	46
133	1	162	49
134	2	39	28
135	3	13	21
136	4	121	28
137	1	175	46
138	2	86	30
139	3	21	31
140	4	222	58
141	1	236	40
142	2	178	57
143	3	28	60
144	4	186	48
145	1	18	18
146	2	230	57
147	3	124	44
148	4	113	44
149	1	130	27
150	2	161	33
151	3	41	42
152	4	186	15
153	1	200	55
154	2	54	40
155	3	88	34
156	4	108	19
157	1	177	50
158	2	60	42
159	3	63	44
160	4	108	41
161	1	193	45
162	2	199	27
163	3	93	39
164	4	52	54
165	1	93	22
166	2	226	41
167	3	110	23
168	4	108	60
169	1	97	23
170	2	248	30
171	3	176	35
172	4	179	22
173	1	88	16
174	2	179	42
175	3	215	59
176	4	75	56
177	1	206	39
178	2	186	15
179	3	49	57
180	4	186	27
181	1	50	57
182	2	140	45
183	3	212	19
184	4	166	59
185	1	86	32
186	2	95	56
187	3	172	22
188	4	237	58
189	1	102	38
190	2	224	17
191	3	115	44
192	4	120	48
193	1	172	21
194	2	230	41
195	3	174	24
196	4	61	27
197	1	125	34
198	2	126	35
199	3	43	37
200	4	228	57
